"filename", "language", "HTML", "Markdown", "Ignore", "XML", "YAML", "C#", "Docker", "JSON", "JavaScript", "CSS", "EditorConfig", "ASP.NET Razor", "comment", "blank", "total"
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\Repositories\CatalogRepository.cs", "C#", 0, 0, 0, 0, 0, 197, 0, 0, 0, 0, 0, 0, 1, 33, 231
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\Services\CatalogService.cs", "C#", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\Todo.md", "Markdown", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 25
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\appsettings.Development.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\appsettings.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\bin\Debug\net6.0\Catalog.Api.deps.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1273, 0, 0, 0, 0, 0, 0, 1273
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\bin\Debug\net6.0\Catalog.Api.runtimeconfig.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 19
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\bin\Debug\net6.0\appsettings.Development.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\bin\Debug\net6.0\appsettings.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\bin\Release\net6.0\Catalog.Api.deps.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1273, 0, 0, 0, 0, 0, 0, 1273
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\bin\Release\net6.0\Catalog.Api.runtimeconfig.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 20
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\bin\Release\net6.0\appsettings.Development.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\bin\Release\net6.0\appsettings.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\bin\Release\net6.0\publish\Catalog.Api.deps.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1273, 0, 0, 0, 0, 0, 0, 1273
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\bin\Release\net6.0\publish\Catalog.Api.runtimeconfig.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 20
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\bin\Release\net6.0\publish\appsettings.Development.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\bin\Release\net6.0\publish\appsettings.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\obj\Catalog.Api.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 108
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\obj\Catalog.Api.csproj.nuget.g.props", "XML", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\obj\Catalog.Api.csproj.nuget.g.targets", "XML", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\obj\Debug\net6.0\.NETCoreApp,Version=v6.0.AssemblyAttributes.cs", "C#", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 5
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\obj\Debug\net6.0\Catalog.Api.AssemblyInfo.cs", "C#", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 5, 23
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\obj\Debug\net6.0\Catalog.Api.GeneratedMSBuildEditorConfig.editorconfig", "EditorConfig", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 1, 20
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\obj\Debug\net6.0\Catalog.Api.GlobalUsings.g.cs", "C#", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 1, 18
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\obj\Debug\net6.0\Catalog.Api.MvcApplicationPartsAssemblyInfo.cs", "C#", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 9, 5, 17
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\obj\Debug\net6.0\Catalog.Api.sourcelink.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\obj\Debug\net6.0\staticwebassets.build.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\obj\Debug\net6.0\staticwebassets\msbuild.build.Catalog.Api.props", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\obj\Debug\net6.0\staticwebassets\msbuild.buildMultiTargeting.Catalog.Api.props", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\obj\Debug\net6.0\staticwebassets\msbuild.buildTransitive.Catalog.Api.props", "XML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\obj\Release\net6.0\.NETCoreApp,Version=v6.0.AssemblyAttributes.cs", "C#", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 1, 5
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\obj\Release\net6.0\Catalog.Api.AssemblyInfo.cs", "C#", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 9, 5, 23
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\obj\Release\net6.0\Catalog.Api.GeneratedMSBuildEditorConfig.editorconfig", "EditorConfig", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 1, 20
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\obj\Release\net6.0\Catalog.Api.GlobalUsings.g.cs", "C#", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 1, 1, 18
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\obj\Release\net6.0\Catalog.Api.MvcApplicationPartsAssemblyInfo.cs", "C#", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 9, 5, 17
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\obj\Release\net6.0\Catalog.Api.sourcelink.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\obj\Release\net6.0\staticwebassets.build.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\PC-1\Projects\eShop-Project\src\Catalog.Api\obj\Release\net6.0\staticwebassets.publish.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 11
